station,SID,Latitude,Longitude,Eléva Station,Eléva Baromètre,lat,lon,Observations
ADRAR,60620,"27°50'13,848''N","0°11'37,104''W","279,23","284,53",27.83718,-0.19364,
AIN-BESSAM,60415,"36°17'4,56''N","3°41'22,055''E",748,752,36.2846,3.68946,
AIN-DEFLA,60429,"36°15'54,396''N","1°56'54,672''E",294,"295,7",36.26511,1.94852,
AIN-SEFRA,60560,"32°45'7,092''N","0°35'38,436''W",1076,1077,32.75197,-0.59401,
ANNABA,60360,"36°49'19,992''N",7°48'9''E,3,"8,6",36.82222,7.8025,
ARZEW,60452,"35°49'0,768''N","0°16'6,132''W",3,4,35.81688,-0.26837,
ASSEKREM,60679,"23°15'40,176''N","5°37'52,139''E",2710,2711,23.26116,5.63115,
B-B-ARRERIDJ,60444,"36°4'3,072''N","4°47'40,272''E",955,957,36.06752,4.79452,
BARIKA,60471,"35°20'52,332''N","5°20'23,747''E",460,461,35.34787,5.33993,station climatologique
BATNA,60468,"35°45'38,988''N","6°19'10,992''E","821,29",827,35.76083,6.31972,
BECHAR,60571,"31°39’15,408’’N","2°15’8,496’’W","808,64","817,1",31.65428,-2.25236,RS
BEJAIA,60402,"36°42'57,96''N","5°4'31,368''E","1,76","7,5",36.7161,5.07538,
BENI-ABBES,60602,"30°7'42,456''N","2°8'58,307''W",510,"515,8",30.12846,-2.14953,
BENI-OUNIF,60577,"32°3'4,968''N","1°15'54,971''W",830,"834,1",32.05138,-1.26527,
BENI-SAF,60518,"35°18'3,564''N","1°23'42,504''W",68,70,35.30099,-1.39514,
BISKRA,60525,"34°47'41,172''N","5°43'50,663''E",82,"89,7",34.79477,5.73074,
B-B-MOKHTAR,60686,"21°22'33,924''N","0°55'55,38''E",395,"401,6",21.37609,0.93205,
BOU HAROUN,60377,"36°37'33,132''N","2°39'24,228''E",2,"2,69",36.62587,2.65673,ADM / pas de transmission
BOU-SAADA,60515,"35°19'46,74''N","4°12'27,54''E",459,"464,6",35.32965,4.20765,
BOUCHEGOUF,60405,"36°27'29,556''N","7°42'31,463''E",110,111,36.45821,7.70874,ADM
BOUIRA,60417,"36°22'11,892''N","3°53'42,252''E",555,560,36.36997,3.89507,
CHLEF,60425,"36°12'58,86''N","1°19'18,12''E",159,164,36.21635,1.3217,
CONSTANTINE,60419,"36°16'40,08''N","6°37'41,952''E","685,2","691,6",36.2778,6.62832,
DAR-EL-BEIDA,60390,"36°41’23,74’’N","3°12’59,832’’E",25,"29,3",36.68993,3.21662,RS / GCOS (GSN)
DELLYS,60387,"36°53'48,156''N","3°57'18,972''E",6,8,36.89671,3.95527,
DJANET,60670,"24°17'18,456''N","9°28'3,863''E",968,"973,6",24.28846,9.46774,
DJELFA,60535,"34°39'12,996''N","3°16'52,967''E",1180,1185,34.65361,3.28138,
EL-BAYADH,60550,"33°43'10,776''N","1°5'41,424''E",1361,"1362,8",33.71966,1.09484,
EL-GOLEA,60590,"30°34'20,856''N","2°52'4,908''E",397,"403,8",30.57246,2.86803,GCOS (GSN)
