station,SID,lat,lon
NAAMA,60557,33.26108,-0.31744
EL-BAYADH,60550,33.71966,1.09484
LAGHOUAT,60545,33.76333,2.82638
DJELFA,60535,34.65361,3.28138
MSILA,60467,35.65098,4.49813
BISKRA,60525,34.79477,5.73074
BATNA,60468,35.76083,6.31972
KHENCHELLA,60476,35.46666,7.09638
TEBESSA,60475,35.42861,8.11527
OULED-DJELLAL,,34.42864,5.06506
EL-MGHAIR,,33.95603,5.93536
EL-OUED,60559,33.50618,6.78841
TOUGGOURT,60555,33.07011,6.09208
OUARGLA,60580,31.93641,5.41178
GHARDAIA,60566,32.38638,3.78361
EL-GOLEA,60590,30.57246,2.86803
TIMIMOUN,60607,29.24412,0.28385
BECHAR,60571,31.65428,-2.25236
BENI-ABBES,60602,30.12846,-2.14953
TINDOUF,60656,27.70413,-8.1692
ADRAR,60620,27.83718,-0.19364
IN-SALAH,60630,27.25374,2.51164
ILLIZI,60640,26.71916,8.61722
DJANET,60670,24.28846,9.46774
TAMANRASSET,60680,22.82529,5.45255
B-B-MOKHTAR,60686,21.37609,0.93205







